speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
33.000000,2.570474,1684.000000,14.901961,0.315000,1
5.000000,1.378350,1470.000000,19.607843,0.018000,3
29.000000,3.216032,2134.000000,17.254902,0.050000,3
0.000000,2.369436,807.000000,14.117647,0.033000,1
0.000000,3.089816,701.000000,13.333333,0.005000,1
0.000000,3.873710,0.000000,17.647059,0.012000,2
0.000000,1.318099,746.000000,13.725490,0.025000,1
0.000000,1.941431,790.000000,13.725490,0.051000,1
0.000000,3.823685,701.000000,13.333333,1.130000,1
39.000000,0.946146,2011.000000,21.960784,0.002000,3
48.000000,1.197658,1636.000000,14.901961,1.353000,1
53.000000,1.549954,1818.000000,14.901961,0.154000,1
0.000000,8.470533,0.000000,17.647059,0.012000,2
12.000000,0.742504,1172.000000,20.000000,0.021000,3
0.000000,3.172817,742.000000,13.333333,0.007000,1
0.000000,0.910276,0.000000,17.647059,0.007000,1
23.000000,2.167620,769.000000,14.117647,0.969000,1
0.000000,3.186989,700.000000,13.333333,0.322000,1
25.000000,1.514001,1893.000000,25.490196,1.041000,3
0.000000,2.870083,693.000000,13.333333,0.004000,1
0.000000,7.766315,743.000000,13.725490,10.364000,2
0.000000,5.239900,0.000000,17.647059,4.504000,2
0.000000,2.564011,694.000000,13.725490,0.001000,1
0.000000,3.932919,753.000000,13.725490,0.012000,1
0.000000,2.324761,809.000000,14.117647,0.101000,1
83.000000,1.272121,1492.000000,17.647059,0.159000,3
58.000000,1.851039,2322.000000,20.000000,0.183000,3
9.000000,3.354419,738.000000,13.725490,0.027000,1
5.000000,2.775120,1084.000000,14.117647,0.569000,1
0.000000,2.361193,752.000000,13.725490,0.150000,1
0.000000,8.911415,0.000000,17.647059,0.006000,2
0.000000,9.152997,0.000000,17.647059,0.391000,2
81.000000,1.395029,1444.500000,17.254902,0.110000,3
0.000000,1.466657,1008.000000,14.117647,0.038000,1
0.000000,2.574360,0.000000,17.647059,1.920000,1
39.000000,0.748644,2029.500000,25.882353,0.291000,3
0.000000,1.408029,621.000000,15.294118,0.148000,1
5.000000,2.834715,769.000000,13.725490,0.026000,1
0.000000,8.915357,0.000000,17.647059,0.006000,2
0.000000,1.313640,714.000000,13.333333,0.438000,1
18.000000,0.945085,810.000000,14.117647,0.917000,1
46.000000,1.360509,2348.000000,20.784314,2.749000,3
0.000000,2.776030,709.000000,13.333333,0.086000,1
0.000000,2.874332,1159.000000,15.294118,0.105000,1
0.000000,1.364789,708.000000,13.333333,0.004000,1
0.000000,8.803306,0.000000,15.294118,0.065999,2
26.000000,1.350248,2781.250000,45.098039,0.418000,3
0.000000,2.303594,751.000000,13.725490,0.005000,1
31.000000,1.591372,1633.000000,14.509804,0.093000,1
0.000000,8.907534,0.000000,17.647059,0.030000,2
0.000000,1.686365,820.250000,16.470588,1.883000,1
0.000000,2.530173,707.000000,13.333333,0.454000,1
0.000000,1.508064,0.000000,17.647059,0.002000,1
0.000000,2.412105,756.000000,14.117647,0.010000,1
37.000000,1.589023,1467.000000,14.117647,1.094000,1
0.000000,9.740984,0.000000,17.647059,0.376000,2
0.000000,3.869978,0.000000,17.647059,0.014000,2
0.000000,1.896887,698.000000,13.333333,0.009000,1
30.000000,2.767805,2245.000000,20.392157,3.267000,3
0.000000,2.258550,888.000000,15.686275,0.052000,1
0.000000,2.489319,738.000000,13.725490,0.003000,1
0.000000,8.942530,0.000000,17.647059,0.000000,2
