speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0.000000,0.391312,0.070000,0.133333,0.001000,1
0.000000,0.289754,0.096000,0.160784,0.004000,1
0.016667,0.268101,0.076200,0.137255,0.046333,1
0.250000,0.465729,0.109675,0.156863,0.776000,1
0.375000,0.218637,0.179300,0.149020,0.036667,1
0.000000,1.612445,0.000000,0.176471,4.650000,2
0.000000,0.195034,0.075000,0.141176,0.003000,1
0.425000,0.240096,0.237700,0.156863,0.089333,3
0.216667,0.563376,0.192000,0.152941,0.079333,1
0.225000,0.905182,0.203700,0.243137,0.313667,3
0.000000,0.275101,0.069900,0.133333,0.028667,1
0.000000,0.231700,0.069600,0.137255,0.024000,1
0.000000,1.192810,0.000000,0.176471,2.285667,2
0.083333,0.178062,0.075450,0.152941,0.404000,1
0.000000,0.126808,0.076625,0.164706,0.015667,1
0.175000,0.410468,0.106200,0.137255,0.046333,1
0.083333,0.596723,0.143700,0.192157,0.653667,3
0.000000,0.518272,0.070000,0.137255,0.002667,1
0.291667,0.649007,0.180000,0.149020,0.145667,1
0.225000,0.449948,0.205800,0.203922,0.012000,3
0.000000,0.410799,0.070100,0.133333,0.055333,1
0.000000,0.408422,0.069900,0.133333,0.005667,1
0.000000,1.779860,0.000000,0.176471,0.000667,2
0.000000,1.433003,0.070700,0.133333,4.660000,2
0.258333,0.120903,0.170150,0.270588,0.136667,3
0.033333,0.532960,0.075700,0.137255,0.075000,1
0.000000,0.266465,0.074100,0.137255,0.006333,1
0.000000,0.592519,0.073500,0.137255,0.007000,1
0.125000,1.051446,0.225400,0.211765,0.100333,3
0.000000,0.395558,0.103400,0.152941,0.015000,1
0.000000,0.389208,0.069500,0.133333,0.001000,1
0.000000,1.782615,0.000000,0.176471,0.000333,2
0.000000,0.120160,0.000000,0.180392,0.085000,1
0.000000,0.796094,0.069700,0.137255,0.233333,1
0.641667,0.526215,0.263100,0.282353,0.106333,3
0.000000,0.478945,0.075200,0.137255,0.001667,1
0.000000,0.327900,0.064900,0.152941,0.032667,1
0.141667,0.746806,0.205400,0.207843,0.169667,3
0.208333,0.138699,0.184675,0.317647,0.111667,3
0.000000,1.783129,0.000000,0.176471,0.000000,2
0.000000,0.632029,0.071500,0.133333,0.001333,1
0.275000,0.359388,0.174200,0.215686,0.034333,3
0.000000,0.306942,0.000000,0.176471,0.000667,1
0.033333,0.445858,0.079800,0.137255,0.112333,1
0.050000,0.579297,0.077900,0.137255,0.058667,1
0.000000,0.671409,0.159050,0.180392,0.005000,1
0.391667,0.071742,0.232575,0.380392,0.150000,3
0.000000,0.181728,0.000000,0.176471,0.010333,1
0.000000,0.339577,0.076200,0.133333,0.014000,1
0.000000,0.604049,0.074800,0.137255,0.003667,1
0.191667,0.556434,0.177500,0.149020,0.209667,1
0.000000,1.935464,0.000000,0.176471,1.328667,2
0.000000,0.795751,0.074200,0.137255,0.014667,1
0.000000,0.448208,0.070500,0.137255,0.010333,1
0.000000,1.919257,0.000000,0.176471,0.000000,2
0.000000,0.406363,0.070100,0.133333,0.000000,1
0.000000,0.586153,0.074700,0.137255,0.001000,1
0.275000,0.869176,0.173000,0.262745,0.168333,3
0.000000,1.181436,0.000000,0.176471,2.430333,2
0.000000,0.482421,0.075600,0.141176,0.003333,1
0.575000,0.123873,0.140700,0.239216,0.175333,3
0.000000,0.083772,0.074200,0.137255,0.176667,1
0.000000,0.615982,0.075000,0.133333,0.003000,1
0.025000,0.243925,0.079600,0.164706,0.036667,1
0.000000,1.784283,0.000000,0.176471,0.000334,2
0.425000,0.352577,0.201100,0.196078,0.023000,3
0.000000,0.478181,0.074900,0.137255,0.004667,1
0.183333,0.492923,0.223200,0.247059,0.023667,3
0.475000,0.489996,0.251800,0.262745,0.016000,3
0.000000,0.377813,0.069900,0.133333,0.005667,1
0.000000,0.774742,0.000000,0.176471,0.004000,2
0.000000,0.758474,0.126950,0.137255,0.084667,1
0.000000,0.152725,0.073200,0.145098,0.003333,1
0.000000,1.135368,0.069900,0.137255,0.763667,1
0.000000,0.448015,0.074800,0.137255,0.003333,1
0.000000,1.787012,0.000000,0.176471,0.004667,2
0.233333,0.833513,0.144900,0.215686,0.479333,3
0.191667,0.742841,0.169700,0.145098,0.285333,1
0.025000,1.066057,0.076100,0.141176,0.174000,1
0.000000,0.548813,0.161600,0.160784,0.155333,1
0.216667,0.511623,0.139400,0.203922,0.210000,3
0.066667,0.372841,0.076300,0.137255,0.081000,1
0.191667,0.433524,0.076900,0.141176,0.323000,1
0.000000,1.780188,0.000000,0.176471,0.000000,2
0.258333,0.735553,0.159600,0.145098,0.127333,1
0.000000,0.559010,0.074800,0.137255,0.002667,1
0.458333,0.120816,0.188200,0.149020,0.352333,3
0.000000,0.606071,0.074700,0.137255,0.004333,1
0.325000,0.182507,0.198900,0.180392,0.054667,3
0.000000,0.114845,0.079400,0.141176,0.016333,1
0.000000,0.747878,0.119750,0.141176,0.003333,1
0.000000,1.891807,0.072200,0.137255,0.025334,2
0.000000,0.473887,0.080700,0.141176,0.011000,1
0.000000,0.558401,0.074200,0.137255,0.000667,1
0.000000,1.788506,0.000000,0.176471,0.000000,2
0.000000,0.514031,0.070400,0.137255,0.004667,1
0.241667,0.563398,0.104200,0.164706,0.937333,1
0.000000,0.478480,0.075000,0.141176,0.001667,1
0.266667,0.229620,0.169100,0.176471,0.131333,3
0.000000,0.514184,0.070600,0.137255,0.000667,1
0.000000,0.389144,0.070400,0.133333,0.001667,1
0.000000,0.327335,0.069400,0.133333,0.002000,1
0.000000,1.663946,0.101500,0.149020,0.000333,2
0.000000,0.301622,0.000000,0.176471,0.003667,1
0.325000,0.616957,0.206400,0.196078,0.011667,3
0.308333,0.455685,0.275800,0.227451,0.018333,3
0.000000,1.214674,0.070100,0.133333,1.698333,1
0.675000,0.279006,0.144450,0.172549,0.036667,3
0.000000,0.458822,0.070000,0.137255,0.391667,1
0.000000,1.218344,0.070600,0.133333,0.217667,1
0.000000,0.614576,0.070500,0.133333,0.000667,1
0.133333,0.317918,0.119600,0.164706,0.010000,1
0.000000,0.276422,0.068500,0.137255,0.003333,1
0.000000,0.182927,0.000000,0.176471,0.000667,1
0.000000,0.380196,0.069500,0.133333,0.018333,1
0.250000,0.318750,0.158200,0.184314,0.048000,3
0.000000,1.786121,0.000000,0.176471,0.001000,2
0.000000,1.784853,0.000000,0.176471,0.001000,2
0.000000,0.863244,0.075200,0.137255,0.146000,1
0.000000,0.534895,0.114000,0.188235,0.004000,1
0.000000,0.780752,0.000000,0.176471,1.630667,2
0.183333,0.685047,0.171400,0.211765,0.539667,3
0.000000,1.784398,0.000000,0.176471,0.002000,2
0.000000,0.381376,0.078400,0.137255,0.159333,1
0.216667,0.311623,0.186300,0.149020,0.132667,1
0.433333,0.345567,0.209300,0.184314,0.073000,3
0.000000,0.243506,0.069200,0.133333,0.010333,1
0.000000,0.556601,0.075200,0.137255,0.004333,1
